TEXT-ID	TYPE
Artur-N-G6095-P609502	NZ
Artur-N-G6096-P609602	NZ
Artur-N-G6097-P609702	NZ
Artur-N-G6100-P610002	NZ
Artur-N-G6103-P610302	NZ
Artur-N-G6104-P610401	NZ
Artur-N-G6105-P610501	NZ
Artur-N-G6106-P610601	NZ
Artur-N-G6108-P610801	NZ
Artur-N-G6112-P611202	NZ
Artur-N-G6116-P611601	NZ
Artur-N-G6117-P611702	NZ
Artur-N-G6118-P611802	NZ
Artur-N-G6119-P611902	NZ
Artur-N-G6120-P612002	NZ
Artur-N-G6121-P612102	NZ
Artur-N-G6125-P612501	NZ
Artur-N-G6127-P612701	NZ
Artur-N-G6132-P613201	NZ
Artur-N-G6133-P613302	NZ
Artur-N-G6134-P134135	NZ
Artur-N-G6135-P134135	NZ
Artur-N-G6162-P616202	NZ
Artur-N-G6163-P616302	NZ
Artur-N-G6170-P617002	NZ
Artur-N-G6171-P617102	NZ
Artur-N-G6172-P617202	NZ
Artur-P-G7001-P700192	JI
Artur-P-G7001-P700199	JI
Artur-P-G7001-P700200	JI
Artur-P-G7001-P700440	JI
Artur-P-G7002-P700434	JI
Artur-P-G7002-P700442	JI
Artur-P-G7002-P700444	JI
Artur-P-G7003-P700433	JI
Artur-P-G7003-P700452	JI
Artur-P-G7004-P705621	JI
Artur-P-G7004-P708094	JI
Artur-P-G7005-P701622	JI
Artur-P-G7005-P701679	JI
Artur-P-G7005-P701734	JI
Artur-P-G7005-P701937	JI
Artur-P-G7005-P702051	JI
Artur-P-G7005-P702053	JI
Artur-P-G7006-P705283	JI
Artur-P-G7007-P705496	JI
Artur-P-G7007-P708039	JI
Artur-P-G7007-P708045	JI
Artur-P-G7008-P700618	JI
Artur-P-G7008-P700620	JI
Artur-P-G7008-P700631	JI
Artur-P-G7008-P700633	JI
Artur-P-G7008-P700654	JI
Artur-P-G7008-P700656	JI
Artur-P-G7008-P700658	JI
Artur-P-G7008-P700660	JI
Artur-P-G7008-P701181	JI
Artur-P-G7009-P700033	JI
Artur-P-G7009-P700099	JI
Artur-P-G7009-P700101	JI
Artur-P-G7009-P700728	JI
Artur-P-G7009-P700730	JI
Artur-P-G7009-P700949	JI
Artur-P-G7009-P700993	JI
Artur-P-G7009-P701301	JI
Artur-P-G7009-P701366	JI
Artur-P-G7009-P701467	JI
Artur-P-G7009-P701598	JI
Artur-P-G7010-P700944	JI
Artur-P-G7010-P700988	JI
Artur-P-G7010-P701860	JI
Artur-P-G7011-P708222	JI
Artur-P-G7011-P708223	JI
Artur-P-G7012-P708069	JI
Artur-P-G7013-P700278	JI
Artur-P-G7013-P700287	JI
Artur-P-G7013-P700289	JI
Artur-P-G7013-P700292	JI
Artur-P-G7013-P700304	JI
Artur-P-G7014-P700113	JI
Artur-P-G7014-P700188	JI
Artur-P-G7014-P700223	JI
Artur-P-G7014-P700830	JI
Artur-P-G7014-P700857	JI
Artur-P-G7014-P700863	JI
Artur-P-G7015-P700055	JI
Artur-P-G7015-P700057	JI
Artur-P-G7015-P700078	JI
Artur-P-G7015-P700081	JI
Artur-P-G7015-P700083	JI
Artur-P-G7015-P700086	JI
Artur-P-G7015-P700088	JI
Artur-P-G7015-P700095	JI
Artur-P-G7015-P700097	JI
Artur-P-G7015-P700100	JI
Artur-P-G7015-P700640	JI
Artur-P-G7016-P700063	JI
Artur-P-G7016-P700340	JI
Artur-P-G7016-P700407	JI
Artur-P-G7017-P700193	JI
Artur-P-G7017-P700717	JI
Artur-P-G7017-P701096	JI
Artur-P-G7017-P701116	JI
Artur-P-G7017-P701121	JI
Artur-P-G7017-P701127	JI
Artur-P-G7017-P701164	JI
Artur-P-G7018-P700411	JI
Artur-P-G7018-P701827	JI
Artur-P-G7018-P708083	JI
Artur-P-G7019-P700675	JI
Artur-P-G7019-P700677	JI
Artur-P-G7019-P705572	JI
Artur-P-G7020-P700187	JI
Artur-P-G7020-P700234	JI
Artur-P-G7020-P700435	JI
Artur-P-G7022-P700820	JI
Artur-P-G7024-P700376	JI
Artur-P-G7024-P700410	JI
Artur-P-G7024-P700578	JI
Artur-P-G7024-P700580	JI
Artur-P-G7024-P700582	JI
Artur-P-G7024-P700826	JI
Artur-P-G7024-P700829	JI
Artur-P-G7025-P700204	JI
Artur-P-G7025-P700431	JI
Artur-P-G7025-P700445	JI
Artur-P-G7025-P700679	JI
Artur-P-G7025-P700822	JI
Artur-P-G7025-P700869	JI
Artur-P-G7025-P701356	JI
Artur-P-G7026-P700080	JI
Artur-P-G7026-P700082	JI
Artur-P-G7026-P700084	JI
Artur-P-G7026-P700102	JI
Artur-P-G7026-P700110	JI
Artur-P-G7026-P700323	JI
Artur-P-G7026-P700336	JI
Artur-P-G7027-P708115	JI
Artur-P-G7029-P705506	JI
Artur-P-G7029-P708048	JI
Artur-P-G7030-P700134	JI
Artur-P-G7030-P700144	JI
Artur-P-G7030-P700150	JI
Artur-P-G7030-P700536	JI
Artur-P-G7030-P700552	JI
Artur-P-G7030-P700555	JI
Artur-P-G7030-P701547	JI
Artur-P-G7030-P701558	JI
Artur-P-G7030-P701569	JI
Artur-P-G7031-P700603	JI
Artur-P-G7031-P700605	JI
Artur-P-G7031-P700724	JI
Artur-P-G7031-P700726	JI
Artur-P-G7031-P701323	JI
Artur-P-G7031-P701326	JI
Artur-P-G7032-P700022	JI
Artur-P-G7032-P700032	JI
Artur-P-G7032-P700069	JI
Artur-P-G7032-P700613	JI
Artur-P-G7032-P700668	JI
Artur-P-G7032-P700682	JI
Artur-P-G7032-P700684	JI
Artur-P-G7032-P701214	JI
Artur-P-G7034-P700048	JI
Artur-P-G7034-P700918	JI
Artur-P-G7034-P701166	JI
Artur-P-G7034-P701168	JI
Artur-P-G7034-P701170	JI
Artur-P-G7034-P701620	JI
Artur-P-G7034-P701799	JI
Artur-P-G7034-P702217	JI
Artur-P-G7034-P702220	JI
Artur-P-G7034-P702223	JI
Artur-P-G7036-P701111	JI
Artur-P-G7036-P701113	JI
Artur-P-G7036-P701119	JI
Artur-P-G7036-P701130	JI
Artur-P-G7036-P701237	JI
Artur-P-G7036-P701239	JI
Artur-P-G7038-P701180	JI
Artur-P-G7038-P701591	JI
Artur-P-G7039-P705627	JI
Artur-P-G7040-P700343	JI
Artur-P-G7041-P700469	JI
Artur-P-G7041-P700935	JI
Artur-P-G7041-P701302	JI
Artur-P-G7041-P701427	JI
Artur-P-G7041-P701501	JI
Artur-P-G7041-P701535	JI
Artur-P-G7041-P701553	JI
Artur-P-G7042-P700958	JI
Artur-P-G7042-P701008	JI
Artur-P-G7042-P701365	JI
Artur-P-G7042-P701426	JI
Artur-P-G7043-P708178	JI
Artur-P-G7045-P705579	JI
Artur-P-G7046-P700367	JI
Artur-P-G7046-P700598	JI
Artur-P-G7046-P700601	JI
Artur-P-G7046-P700920	JI
Artur-P-G7046-P701081	JI
Artur-P-G7047-P705541	JI
Artur-P-G7047-P705544	JI
Artur-P-G7048-P700319	JI
Artur-P-G7048-P700573	JI
Artur-P-G7048-P701352	JI
Artur-P-G7048-P701370	JI
Artur-P-G7048-P702940	JI
Artur-P-G7048-P703590	JI
Artur-P-G7048-P703830	JI
Artur-P-G7049-P700010	JI
Artur-P-G7049-P700126	JI
Artur-P-G7049-P700130	JI
Artur-P-G7049-P700136	JI
Artur-P-G7049-P700149	JI
Artur-P-G7049-P700161	JI
Artur-P-G7049-P700214	JI
Artur-P-G7051-P700190	JI
Artur-P-G7051-P700377	JI
Artur-P-G7051-P700450	JI
Artur-P-G7051-P700957	JI
Artur-P-G7051-P701619	JI
Artur-P-G7051-P701871	JI
Artur-P-G7052-P700185	JI
Artur-P-G7052-P700201	JI
Artur-P-G7052-P701001	JI
Artur-P-G7052-P701257	JI
Artur-P-G7052-P701259	JI
Artur-P-G7052-P701379	JI
Artur-P-G7053-P700054	JI
Artur-P-G7053-P700056	JI
Artur-P-G7053-P700108	JI
Artur-P-G7053-P700237	JI
Artur-P-G7053-P700315	JI
Artur-P-G7053-P700329	JI
Artur-P-G7053-P700348	JI
Artur-P-G7053-P700504	JI
Artur-P-G7053-P700560	JI
Artur-P-G7053-P700808	JI
Artur-P-G7054-P700178	JI
Artur-P-G7054-P700183	JI
Artur-P-G7055-P700050	JI
Artur-P-G7055-P700052	JI
Artur-P-G7055-P700053	JI
Artur-P-G7055-P700138	JI
Artur-P-G7055-P700146	JI
Artur-P-G7055-P700154	JI
Artur-P-G7055-P700164	JI
Artur-P-G7055-P700174	JI
Artur-P-G7055-P700272	JI
Artur-P-G7055-P700373	JI
Artur-P-G7055-P700412	JI
Artur-P-G7056-P700031	JI
Artur-P-G7056-P700626	JI
Artur-P-G7056-P700627	JI
Artur-P-G7056-P701790	JI
Artur-P-G7056-P701953	JI
Artur-P-G7056-P701955	JI
Artur-P-G7056-P701957	JI
Artur-P-G7056-P702241	JI
Artur-P-G7056-P702243	JI
Artur-P-G7056-P702245	JI
Artur-P-G7056-P702664	JI
Artur-P-G7056-P702667	JI
Artur-P-G7056-P703122	JI
Artur-P-G7056-P703124	JI
Artur-P-G7056-P703484	JI
Artur-P-G7056-P703842	JI
Artur-P-G7056-P703844	JI
Artur-P-G7056-P703910	JI
Artur-P-G7056-P703912	JI
Artur-P-G7056-P703914	JI
Artur-P-G7057-P701390	JI
Artur-P-G7057-P701470	JI
Artur-P-G7057-P702362	JI
Artur-P-G7059-P700353	JI
Artur-P-G7059-P700363	JI
Artur-P-G7060-P700477	JI
Artur-P-G7060-P700550	JI
Artur-P-G7060-P700583	JI
Artur-P-G7060-P700585	JI
Artur-P-G7060-P700587	JI
Artur-P-G7060-P700912	JI
Artur-P-G7060-P700956	JI
Artur-P-G7060-P701138	JI
Artur-P-G7060-P701140	JI
Artur-P-G7060-P701142	JI
Artur-P-G7060-P701411	JI
Artur-P-G7061-P705402	JI
Artur-P-G7062-P700035	JI
Artur-P-G7062-P700037	JI
Artur-P-G7062-P700520	JI
Artur-P-G7062-P700895	JI
Artur-P-G7062-P701091	JI
Artur-P-G7064-P700219	JI
Artur-P-G7064-P700845	JI
Artur-P-G7064-P700848	JI
Artur-P-G7064-P700945	JI
Artur-P-G7064-P700994	JI
Artur-P-G7064-P701005	JI
Artur-P-G7064-P701063	JI
Artur-P-G7064-P701234	JI
Artur-P-G7064-P701236	JI
Artur-P-G7065-P700026	JI
Artur-P-G7065-P700028	JI
Artur-P-G7065-P700030	JI
Artur-P-G7065-P700705	JI
Artur-P-G7065-P700707	JI
Artur-P-G7065-P701064	JI
Artur-P-G7066-P700027	JI
Artur-P-G7066-P700029	JI
Artur-P-G7066-P700065	JI
Artur-P-G7066-P700067	JI
Artur-P-G7066-P700179	JI
Artur-P-G7066-P700642	JI
Artur-P-G7066-P700644	JI
Artur-P-G7066-P701209	JI
Artur-P-G7066-P701211	JI
Artur-P-G7067-P700230	JI
Artur-P-G7067-P700496	JI
Artur-P-G7067-P700528	JI
Artur-P-G7067-P700639	JI
Artur-P-G7067-P700909	JI
Artur-P-G7067-P700959	JI
Artur-P-G7067-P701010	JI
Artur-P-G7067-P701843	JI
Artur-P-G7067-P701964	JI
Artur-P-G7067-P701966	JI
Artur-P-G7067-P702165	JI
Artur-P-G7067-P702268	JI
Artur-P-G7067-P702270	JI
Artur-P-G7067-P702272	JI
Artur-P-G7067-P702881	JI
Artur-P-G7068-P700025	JI
Artur-P-G7068-P700060	JI
Artur-P-G7068-P700062	JI
Artur-P-G7068-P700070	JI
Artur-P-G7068-P700073	JI
Artur-P-G7068-P700716	JI
Artur-P-G7068-P700748	JI
Artur-P-G7068-P701167	JI
Artur-P-G7068-P701169	JI
Artur-P-G7068-P701191	JI
Artur-P-G7070-P700112	JI
Artur-P-G7070-P700120	JI
Artur-P-G7070-P700194	JI
Artur-P-G7070-P700232	JI
Artur-P-G7070-P700285	JI
Artur-P-G7070-P700311	JI
Artur-P-G7070-P700325	JI
Artur-P-G7071-P701004	JI
Artur-P-G7071-P701012	JI
Artur-P-G7071-P701273	JI
Artur-P-G7071-P701275	JI
Artur-P-G7071-P701398	JI
Artur-P-G7071-P701428	JI
Artur-P-G7073-P700167	JI
Artur-P-G7076-P700196	JI
Artur-P-G7076-P700432	JI
Artur-P-G7076-P700628	JI
Artur-P-G7076-P700870	JI
Artur-P-G7076-P701060	JI
Artur-P-G7076-P701100	JI
Artur-P-G7076-P701102	JI
Artur-P-G7078-P700403	JI
