TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SPK-IDsUTTS	SEGS	WORDS
Rog-Art-J-Gvecg-P580034	Artur-J	Artur-J-Gvecg-P580034	2019-12	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4514	47	250
Rog-Art-J-Gvecg-P580035	Artur-J	Artur-J-Gvecg-P580035	2021-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4515	63	293
Rog-Art-J-Gvecg-P580036	Artur-J	Artur-J-Gvecg-P580036	2021-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4516	48	532
Rog-Art-J-Gvecg-P580037	Artur-J	Artur-J-Gvecg-P580037	2021-04	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4517	74	333
Rog-Art-J-Gvecg-P580038	Artur-J	Artur-J-Gvecg-P580038	2018-06	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4518	82	464
Rog-Art-J-Gvecg-P580039	Artur-J	Artur-J-Gvecg-P580039	2021-04	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4539, Artur-J-G4519	38	392
Rog-Art-J-Gvecg-P580040	Artur-J	Artur-J-Gvecg-P580040	2021-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4539, Artur-J-G4520	83	384
Rog-Art-J-Gvecg-P580041	Artur-J	Artur-J-Gvecg-P580041	2021-04	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4521	119	376
Rog-Art-J-Gvecg-P580042	Artur-J	Artur-J-Gvecg-P580042	2021-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4522	67	332
Rog-Art-J-Gvecg-P580043	Artur-J	Artur-J-Gvecg-P580043	2021-04	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4523	71	359
Rog-Art-J-Gvecg-P580044	Artur-J	Artur-J-Gvecg-P580044	2021-05	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4524	56	421
Rog-Art-J-Gvecg-P580046	Artur-J	Artur-J-Gvecg-P580046	-	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4526	73	498
Rog-Art-J-Gvecg-P580047	Artur-J	Artur-J-Gvecg-P580047	-	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4586	74	393
Rog-Art-J-Gvecg-P580048	Artur-J	Artur-J-Gvecg-P580048	2016-05	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4587	72	367
Rog-Art-J-Gvecg-P580049	Artur-J	Artur-J-Gvecg-P580049	-	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4588	50	554
Rog-Art-J-Gvecg-P580050	Artur-J	Artur-J-Gvecg-P580050	2021-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4589	32	326
Rog-Art-J-Gvecg-P580051	Artur-J	Artur-J-Gvecg-P580051	2021-05	ZRC SAZU	https://www.youtube.com/watch?v=bD9C8Y-pG2M	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G4602, Artur-J-G4604, Artur-J-G4605, Artur-J-G4603, Artur-J-G4597, Artur-J-G4595, Artur-J-G4592, Artur-J-G4593, Artur-J-G4596, Artur-J-G4599, Artur-J-G4600, Artur-J-G4594, Artur-J-G4590, Artur-J-G4601, Artur-J-G4598, Artur-J-G4591	494	5803
Rog-Art-N-G5001-P600001	Artur-N	Artur-N-G5001-P600001	2020-08	lastni posnetek	-	Slovenske Konjice	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5001	122	352
Rog-Art-N-G5002-P600001	Artur-N	Artur-N-G5002-P600001	2020-08	lastni posnetek	-	Slovenske Konjice	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5002	169	262
Rog-Art-N-G5003-P600002	Artur-N	Artur-N-G5003-P600002	2020-09	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5003	209	196
Rog-Art-N-G5004-P600002	Artur-N	Artur-N-G5004-P600002	2020-09	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5004	199	181
Rog-Art-N-G5005-P600003	Artur-N	Artur-N-G5005-P600003	2020-09	lastni posnetek	-	Oplotnica	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5005	395	468
Rog-Art-N-G5006-P600003	Artur-N	Artur-N-G5006-P600003	2020-09	lastni posnetek	-	Oplotnica	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5006	440	500
Rog-Art-N-G5007-P600004	Artur-N	Artur-N-G5007-P600004	2020-09	lastni posnetek	-	Maribor	prosti dialog med dvema sogovornikoma	zasebni	osebni stik	Artur-N-G5007	347	295
