TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Gos113	Gos	Intervju o gospodarski krizi v industriji.	2009-10	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	2	78	Bm-inte-07502 Rf-novi-01604
Gos114	Gos	Pogovor z gosti o kazenskem zakoniku in njegovih slabostih.	2009-10	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	4	74	Ef-mode-01604
Gos115	Gos	Intervju s tremi politiki o predsedniku ZDA Obami.	2009-07	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	3	68	Cm-gost-02503 Af-mode-07152
Gos116	Gos	Intervju na temo prodaje Mercatorja.	2009-11	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	6	140	Bm-gost-03509 Sm-novi-07003
Gos117	Gos	Pogovor s predstavniki poslanskih skupin o novi vladi.	2009-10	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	2	79	Am-mode-07003 Dm-gost-07006
Gos118	Gos	Intervju na temo odločbe o ustanovitvi nove univerze v Novi Gorici.	2009-10	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	4	87	Tm-novi-09001
Gos119	Gos	Intervju z direktorjem železnic o poslovanju uprave in upravičenosti do izplačila božičnice.	2010-07	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	3	108	Bm-gost-07155
Gos120	Gos	Pogovor s politikom o odnosih med Hrvaško in Slovenijo.	2010-09	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	6	52	Of-novi-01604 Mm-gost-01605
Gos121	Gos	Slovenija pojasnjuje svoj 'ne' Hrvaški pri nadaljevanju pogajanj za vstop v EU.	2010-09	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	8	119	Dm-gost-07198 Am-mode-07003
Gos122	Gos	Pomoč države podjetjem v času krize.	2010-09	-	-	Ljubljana	TVSlo, Odmevi	informativno-izobraževalni	televizija	3	64	Cm-gost-00015 Am-mode-07003
Gos123	Gos	Oddaja z gosti o mirovnih operacijah in prisotnosti slovenskih vojakov v Iraku, Afganistanu ter na Kosovu.	2009-11	-	-	Ljubljana	TVSlo, Polemika	informativno-izobraževalni	televizija	14	329	Lf-gost-05513 Vm-novi-01606
